Using workdir /Users/karstenhaldan/minisite
Initialising login role...
Connecting to remote database...
Skipping migration 20270725000003a_p46_course_secdef_rpcs_test.sql... (file name must match pattern "<timestamp>_name.sql")

  
   Local          | Remote         | Time (UTC)          
   20290101000003 | 20290101000003 | 2029-01-01 00:00:03 
   20290102000001 | 20290102000001 | 2029-01-02 00:00:01 
   20290102000003 | 20290102000003 | 2029-01-02 00:00:03 
   20290102000004 | 20290102000004 | 2029-01-02 00:00:04 
   20290102000005 | 20290102000005 | 2029-01-02 00:00:05 
   20290102000006 | 20290102000006 | 2029-01-02 00:00:06 
   20290102000010 | 20290102000010 | 2029-01-02 00:00:10 
   20290103000001 | 20290103000001 | 2029-01-03 00:00:01 
   20290103000002 | 20290103000002 | 2029-01-03 00:00:02 
   20290103000003 | 20290103000003 | 2029-01-03 00:00:03 
   20290103000004 | 20290103000004 | 2029-01-03 00:00:04 
   20290103000005 | 20290103000005 | 2029-01-03 00:00:05 
   20290104000001 |                | 2029-01-04 00:00:01 
   20290104000002 |                | 2029-01-04 00:00:02 
   20290104000003 |                | 2029-01-04 00:00:03 
   20290104000004 |                | 2029-01-04 00:00:04 
   20290104000005 |                | 2029-01-04 00:00:05 
   20290104000006 |                | 2029-01-04 00:00:06 
   20290104000007 |                | 2029-01-04 00:00:07 
   20290104000008 |                | 2029-01-04 00:00:08 
   20290104000009 |                | 2029-01-04 00:00:09 
   20290104000010 |                | 2029-01-04 00:00:10 
   20290105000001 |                | 2029-01-05 00:00:01 
   20290105000002 |                | 2029-01-05 00:00:02 
   20290106000001 |                | 2029-01-06 00:00:01 
   20290106000002 |                | 2029-01-06 00:00:02 
   20290106000003 |                | 2029-01-06 00:00:03 
   20290107000001 |                | 2029-01-07 00:00:01 
   20290107000002 |                | 2029-01-07 00:00:02 
   20290107000003 |                | 2029-01-07 00:00:03 

<claude-code-hint v="1" type="plugin" value="supabase@claude-plugins-official" />
A new version of Supabase CLI is available: v2.101.0 (currently installed v2.98.2)
We recommend updating regularly for new features and bug fixes: https://supabase.com/docs/guides/cli/getting-started#updating-the-supabase-cli
