Using workdir /Users/karstenhaldan/minisite
Initialising login role...
Connecting to remote database...
Skipping migration 20270725000003a_p46_course_secdef_rpcs_test.sql... (file name must match pattern "<timestamp>_name.sql")

  
   Local          | Remote         | Time (UTC)          
   20270601000003 | 20270601000003 | 2027-06-01 00:00:03 
   20270601000004 | 20270601000004 | 2027-06-01 00:00:04 
   20270601000005 | 20270601000005 | 2027-06-01 00:00:05 
   20270601000006 | 20270601000006 | 2027-06-01 00:00:06 
   20270601000007 | 20270601000007 | 2027-06-01 00:00:07 
   20270601000008 | 20270601000008 | 2027-06-01 00:00:08 
   20270601000009 | 20270601000009 | 2027-06-01 00:00:09 
   20270601000010 | 20270601000010 | 2027-06-01 00:00:10 
   20270601000011 | 20270601000011 | 2027-06-01 00:00:11 
   20270601000012 | 20270601000012 | 2027-06-01 00:00:12 
   20270601000013 | 20270601000013 | 2027-06-01 00:00:13 
   20270601000014 | 20270601000014 | 2027-06-01 00:00:14 
   20270601000015 | 20270601000015 | 2027-06-01 00:00:15 
   20270601000016 | 20270601000016 | 2027-06-01 00:00:16 
   20270601000017 | 20270601000017 | 2027-06-01 00:00:17 
   20270601000018 | 20270601000018 | 2027-06-01 00:00:18 
   20270601000019 | 20270601000019 | 2027-06-01 00:00:19 
   20270601000020 | 20270601000020 | 2027-06-01 00:00:20 
   20270601000021 | 20270601000021 | 2027-06-01 00:00:21 
   20270601000022 | 20270601000022 | 2027-06-01 00:00:22 
   20270601000023 | 20270601000023 | 2027-06-01 00:00:23 
   20270601000024 | 20270601000024 | 2027-06-01 00:00:24 
   20270601000025 | 20270601000025 | 2027-06-01 00:00:25 
   20270601000026 | 20270601000026 | 2027-06-01 00:00:26 
   20270601000027 | 20270601000027 | 2027-06-01 00:00:27 
   20270601000028 | 20270601000028 | 2027-06-01 00:00:28 
   20270601000029 | 20270601000029 | 2027-06-01 00:00:29 
   20270601000030 | 20270601000030 | 2027-06-01 00:00:30 
   20270601000031 | 20270601000031 | 2027-06-01 00:00:31 
   20270601000032 | 20270601000032 | 2027-06-01 00:00:32 
   20270601000033 | 20270601000033 | 2027-06-01 00:00:33 
   20270601000034 | 20270601000034 | 2027-06-01 00:00:34 
   20270601100001 | 20270601100001 | 2027-06-01 10:00:01 
   20270601100003 | 20270601100003 | 2027-06-01 10:00:03 
   20270601100004 | 20270601100004 | 2027-06-01 10:00:04 
   20270601100005 | 20270601100005 | 2027-06-01 10:00:05 
   20270601100006 | 20270601100006 | 2027-06-01 10:00:06 
   20270601100007 | 20270601100007 | 2027-06-01 10:00:07 
   20270601100008 | 20270601100008 | 2027-06-01 10:00:08 
   20270601100009 | 20270601100009 | 2027-06-01 10:00:09 
   20270601100010 | 20270601100010 | 2027-06-01 10:00:10 
   20270601100011 | 20270601100011 | 2027-06-01 10:00:11 
   20270601100012 | 20270601100012 | 2027-06-01 10:00:12 
   20270601100013 | 20270601100013 | 2027-06-01 10:00:13 
   20270601100014 | 20270601100014 | 2027-06-01 10:00:14 
   20270601100015 | 20270601100015 | 2027-06-01 10:00:15 
   20270601100016 | 20270601100016 | 2027-06-01 10:00:16 
   20270601100017 | 20270601100017 | 2027-06-01 10:00:17 
   20270601100018 | 20270601100018 | 2027-06-01 10:00:18 
   20270601100019 | 20270601100019 | 2027-06-01 10:00:19 
   20270601200001 | 20270601200001 | 2027-06-01 20:00:01 
   20270601200002 | 20270601200002 | 2027-06-01 20:00:02 
   20270601200003 | 20270601200003 | 2027-06-01 20:00:03 
   20270601200004 | 20270601200004 | 2027-06-01 20:00:04 
   20270601200005 | 20270601200005 | 2027-06-01 20:00:05 
   20270601200006 | 20270601200006 | 2027-06-01 20:00:06 
   20270601200007 | 20270601200007 | 2027-06-01 20:00:07 
   20270601300001 | 20270601300001 | 20270601300001      
   20270601300002 | 20270601300002 | 20270601300002      
   20270601300003 | 20270601300003 | 20270601300003      
   20270601300004 | 20270601300004 | 20270601300004      
   20270601300005 | 20270601300005 | 20270601300005      
   20270601300006 | 20270601300006 | 20270601300006      
   20270601300007 | 20270601300007 | 20270601300007      
   20270601300008 | 20270601300008 | 20270601300008      
   20270601300009 | 20270601300009 | 20270601300009      
   20270601300010 | 20270601300010 | 20270601300010      
   20270601300011 | 20270601300011 | 20270601300011      
   20270601300100 | 20270601300100 | 20270601300100      
   20270601310101 | 20270601310101 | 20270601310101      
   20270601400003 | 20270601400003 | 20270601400003      
   20270601400004 | 20270601400004 | 20270601400004      
   20270601400005 | 20270601400005 | 20270601400005      
   20270601400006 | 20270601400006 | 20270601400006      
   20270601400007 | 20270601400007 | 20270601400007      
   20270601500001 | 20270601500001 | 20270601500001      
   20270601600001 | 20270601600001 | 20270601600001      
   20270601600002 | 20270601600002 | 20270601600002      
   20270601600003 | 20270601600003 | 20270601600003      
   20270601600004 | 20270601600004 | 20270601600004      
   20270601700001 | 20270601700001 | 20270601700001      
   20270602000001 | 20270602000001 | 2027-06-02 00:00:01 
   20270602000002 | 20270602000002 | 2027-06-02 00:00:02 
   20270602000003 | 20270602000003 | 2027-06-02 00:00:03 
   20270602000004 | 20270602000004 | 2027-06-02 00:00:04 
   20270602000005 | 20270602000005 | 2027-06-02 00:00:05 
   20270602000010 | 20270602000010 | 2027-06-02 00:00:10 
   20270602000011 | 20270602000011 | 2027-06-02 00:00:11 
   20270602000012 | 20270602000012 | 2027-06-02 00:00:12 
   20270602000013 | 20270602000013 | 2027-06-02 00:00:13 
   20270602000040 | 20270602000040 | 2027-06-02 00:00:40 
   20270602000050 | 20270602000050 | 2027-06-02 00:00:50 
   20270602000060 | 20270602000060 | 20270602000060      
   20270603000001 | 20270603000001 | 2027-06-03 00:00:01 
   20270603000002 | 20270603000002 | 2027-06-03 00:00:02 
   20270603000003 | 20270603000003 | 2027-06-03 00:00:03 
   20270701000001 | 20270701000001 | 2027-07-01 00:00:01 
   20270701000002 | 20270701000002 | 2027-07-01 00:00:02 
   20270701000003 | 20270701000003 | 2027-07-01 00:00:03 
   20270701000004 | 20270701000004 | 2027-07-01 00:00:04 
   20270701000005 | 20270701000005 | 2027-07-01 00:00:05 
   20270701000006 | 20270701000006 | 2027-07-01 00:00:06 
   20270701000007 | 20270701000007 | 2027-07-01 00:00:07 
   20270701000008 | 20270701000008 | 2027-07-01 00:00:08 
   20270701000009 | 20270701000009 | 2027-07-01 00:00:09 
   20270701000010 | 20270701000010 | 2027-07-01 00:00:10 
   20270701000011 | 20270701000011 | 2027-07-01 00:00:11 
   20270701000012 | 20270701000012 | 2027-07-01 00:00:12 
   20270701000013 | 20270701000013 | 2027-07-01 00:00:13 
   20270702000001 | 20270702000001 | 2027-07-02 00:00:01 
   20270702000002 | 20270702000002 | 2027-07-02 00:00:02 
   20270702000003 | 20270702000003 | 2027-07-02 00:00:03 
   20270702000004 | 20270702000004 | 2027-07-02 00:00:04 
   20270702000005 | 20270702000005 | 2027-07-02 00:00:05 
   20270702000006 | 20270702000006 | 2027-07-02 00:00:06 
   20270702000007 | 20270702000007 | 2027-07-02 00:00:07 
   20270702000008 | 20270702000008 | 2027-07-02 00:00:08 
   20270702000009 | 20270702000009 | 2027-07-02 00:00:09 
   20270703000001 | 20270703000001 | 2027-07-03 00:00:01 
   20270703000002 | 20270703000002 | 2027-07-03 00:00:02 
   20270703000003 | 20270703000003 | 2027-07-03 00:00:03 
   20270703000004 | 20270703000004 | 2027-07-03 00:00:04 
   20270703000005 | 20270703000005 | 2027-07-03 00:00:05 
   20270703000006 | 20270703000006 | 2027-07-03 00:00:06 
   20270703000007 | 20270703000007 | 2027-07-03 00:00:07 
   20270703000008 | 20270703000008 | 2027-07-03 00:00:08 
   20270703000009 | 20270703000009 | 2027-07-03 00:00:09 
   20270703000010 | 20270703000010 | 2027-07-03 00:00:10 
   20270703000011 | 20270703000011 | 2027-07-03 00:00:11 
   20270703000012 | 20270703000012 | 2027-07-03 00:00:12 
   20270703000013 | 20270703000013 | 2027-07-03 00:00:13 
   20270704000001 | 20270704000001 | 2027-07-04 00:00:01 
   20270704000002 | 20270704000002 | 2027-07-04 00:00:02 
   20270704000003 | 20270704000003 | 2027-07-04 00:00:03 
   20270704000004 | 20270704000004 | 2027-07-04 00:00:04 
   20270704000005 | 20270704000005 | 2027-07-04 00:00:05 
   20270704000006 | 20270704000006 | 2027-07-04 00:00:06 
   20270704000007 | 20270704000007 | 2027-07-04 00:00:07 
   20270704000010 | 20270704000010 | 2027-07-04 00:00:10 
   20270704000011 | 20270704000011 | 2027-07-04 00:00:11 
   20270704000012 | 20270704000012 | 2027-07-04 00:00:12 
   20270704000013 | 20270704000013 | 2027-07-04 00:00:13 
   20270704000020 | 20270704000020 | 2027-07-04 00:00:20 
   20270704000021 | 20270704000021 | 2027-07-04 00:00:21 
   20270704000022 | 20270704000022 | 2027-07-04 00:00:22 
   20270704000023 | 20270704000023 | 2027-07-04 00:00:23 
   20270704000024 | 20270704000024 | 2027-07-04 00:00:24 
   20270704000025 | 20270704000025 | 2027-07-04 00:00:25 
   20270705000001 | 20270705000001 | 2027-07-05 00:00:01 
   20270705000002 | 20270705000002 | 2027-07-05 00:00:02 
   20270705000003 | 20270705000003 | 2027-07-05 00:00:03 
   20270705000004 | 20270705000004 | 2027-07-05 00:00:04 
   20270705000005 | 20270705000005 | 2027-07-05 00:00:05 
   20270705000006 | 20270705000006 | 2027-07-05 00:00:06 
   20270705000007 | 20270705000007 | 2027-07-05 00:00:07 
   20270705000008 | 20270705000008 | 2027-07-05 00:00:08 
   20270705000009 | 20270705000009 | 2027-07-05 00:00:09 
   20270705000010 | 20270705000010 | 2027-07-05 00:00:10 
   20270705000011 | 20270705000011 | 2027-07-05 00:00:11 
   20270705000012 | 20270705000012 | 2027-07-05 00:00:12 
   20270705000013 | 20270705000013 | 2027-07-05 00:00:13 
   20270705000014 | 20270705000014 | 2027-07-05 00:00:14 
   20270705000020 | 20270705000020 | 2027-07-05 00:00:20 
   20270705000030 | 20270705000030 | 2027-07-05 00:00:30 
   20270705000031 | 20270705000031 | 2027-07-05 00:00:31 
   20270706000001 | 20270706000001 | 2027-07-06 00:00:01 
   20270706000002 | 20270706000002 | 2027-07-06 00:00:02 
   20270706000003 | 20270706000003 | 2027-07-06 00:00:03 
   20270706000004 | 20270706000004 | 2027-07-06 00:00:04 
   20270706000005 | 20270706000005 | 2027-07-06 00:00:05 
   20270706000006 | 20270706000006 | 2027-07-06 00:00:06 
   20270706000007 | 20270706000007 | 2027-07-06 00:00:07 
   20270706000008 | 20270706000008 | 2027-07-06 00:00:08 
   20270707000001 | 20270707000001 | 2027-07-07 00:00:01 
   20270707000002 | 20270707000002 | 2027-07-07 00:00:02 
   20270707000003 | 20270707000003 | 2027-07-07 00:00:03 
   20270707000004 | 20270707000004 | 2027-07-07 00:00:04 
   20270707000005 | 20270707000005 | 2027-07-07 00:00:05 
   20270707000006 | 20270707000006 | 2027-07-07 00:00:06 
   20270707000007 | 20270707000007 | 2027-07-07 00:00:07 
   20270707000008 | 20270707000008 | 2027-07-07 00:00:08 
   20270707000009 | 20270707000009 | 2027-07-07 00:00:09 
   20270707000010 | 20270707000010 | 2027-07-07 00:00:10 
   20270707000020 | 20270707000020 | 2027-07-07 00:00:20 
   20270708000001 | 20270708000001 | 2027-07-08 00:00:01 
   20270708000002 | 20270708000002 | 2027-07-08 00:00:02 
   20270708000003 | 20270708000003 | 2027-07-08 00:00:03 
   20270708000004 | 20270708000004 | 2027-07-08 00:00:04 
   20270708000005 | 20270708000005 | 2027-07-08 00:00:05 
   20270708000006 | 20270708000006 | 2027-07-08 00:00:06 
   20270708000007 | 20270708000007 | 2027-07-08 00:00:07 
   20270708000008 | 20270708000008 | 2027-07-08 00:00:08 
   20270708000009 | 20270708000009 | 2027-07-08 00:00:09 
   20270708000010 | 20270708000010 | 2027-07-08 00:00:10 
   20270708000011 | 20270708000011 | 2027-07-08 00:00:11 
   20270708000012 | 20270708000012 | 2027-07-08 00:00:12 
   20270708000013 | 20270708000013 | 2027-07-08 00:00:13 
   20270708000014 | 20270708000014 | 2027-07-08 00:00:14 
   20270708000015 | 20270708000015 | 2027-07-08 00:00:15 
   20270708000016 | 20270708000016 | 2027-07-08 00:00:16 
   20270708000017 | 20270708000017 | 2027-07-08 00:00:17 
   20270708000018 | 20270708000018 | 2027-07-08 00:00:18 
   20270708000019 | 20270708000019 | 2027-07-08 00:00:19 
   20270708000020 | 20270708000020 | 2027-07-08 00:00:20 
   20270708000021 | 20270708000021 | 2027-07-08 00:00:21 
   20270708000022 | 20270708000022 | 2027-07-08 00:00:22 
   20270709000001 | 20270709000001 | 2027-07-09 00:00:01 
